Date,open,high,low,close,adj_close,volume
2002-07-01,2.320000,2.340000,2.210000,2.340000,0.240509,441200
2002-07-02,2.570000,2.580000,2.340000,2.580000,0.265177,1946940
2002-07-03,2.660000,2.840000,2.610000,2.840000,0.291900,4030840
2002-07-04,2.990000,3.120000,2.950000,3.120000,0.320679,2315800
2002-07-05,3.300000,3.440000,3.010000,3.150000,0.323763,6273960
2002-07-08,3.300000,3.350000,2.900000,2.950000,0.303206,3054480
2002-07-09,2.900000,3.130000,2.810000,2.850000,0.292928,2529300
2002-07-10,2.850000,2.950000,2.600000,2.640000,0.271344,981180
2002-07-11,2.560000,2.900000,2.550000,2.900000,0.298067,1851160
2002-07-12,3.050000,3.200000,2.860000,2.910000,0.299095,4054340
2002-07-15,2.910000,2.930000,2.650000,2.750000,0.282650,1120600
2002-07-16,2.950000,3.030000,2.710000,2.830000,0.290872,1942520
2002-07-17,2.850000,2.900000,2.670000,2.750000,0.282650,1542680
2002-07-18,2.800000,3.000000,2.750000,2.860000,0.293956,2051900
2002-07-19,2.990000,2.990000,2.690000,2.780000,0.285733,1966760
2002-07-22,2.740000,2.740000,2.500000,2.510000,0.257982,1132980
2002-07-23,2.500000,2.530000,2.280000,2.420000,0.248732,1099560
2002-07-24,2.450000,2.450000,2.180000,2.180000,0.224064,913620
2002-07-25,2.330000,2.400000,2.230000,2.400000,0.246676,1417000
2002-07-26,2.590000,2.590000,2.180000,2.200000,0.226120,1120760
2002-07-29,2.200000,2.200000,1.980000,2.160000,0.222009,1106740
2002-07-30,2.350000,2.350000,1.950000,1.950000,0.200424,556880
2002-07-31,1.810000,1.950000,1.760000,1.830000,0.188091,1634300
2002-08-01,2.000000,2.000000,1.750000,1.760000,0.180896,288880
2002-08-02,1.670000,1.930000,1.670000,1.840000,0.189118,268800
2002-08-05,1.950000,1.990000,1.760000,1.950000,0.200424,913200
2002-08-06,1.950000,2.140000,1.890000,2.140000,0.219953,2608260
2002-08-07,2.250000,2.340000,2.220000,2.290000,0.235370,1938620
2002-08-08,2.300000,2.480000,2.210000,2.290000,0.235370,3303580
2002-08-09,2.350000,2.390000,2.260000,2.330000,0.239481,1114240
2002-08-12,2.360000,2.400000,2.340000,2.350000,0.241537,388460
2002-08-13,2.480000,2.580000,2.350000,2.580000,0.265177,1012220
2002-08-14,2.800000,2.840000,2.670000,2.750000,0.282650,4449540
2002-08-15,null,null,null,null,null,null
2002-08-16,2.770000,2.840000,2.470000,2.530000,0.260038,2653520
2002-08-19,2.500000,2.560000,2.410000,2.430000,0.249760,883080
2002-08-20,2.500000,2.500000,2.340000,2.380000,0.244621,820460
2002-08-21,2.400000,2.600000,2.290000,2.490000,0.255927,1561800
2002-08-22,2.550000,2.700000,2.430000,2.480000,0.254899,1851020
2002-08-23,2.500000,2.560000,2.390000,2.420000,0.248732,959360
2002-08-26,2.430000,2.510000,2.420000,2.440000,0.250787,532120
2002-08-27,2.460000,2.530000,2.410000,2.450000,0.251815,661780
2002-08-28,2.450000,2.690000,2.450000,2.650000,0.272372,5375080
2002-08-29,2.650000,2.750000,2.380000,2.380000,0.244621,4637220
2002-08-30,2.360000,2.420000,2.280000,2.310000,0.237426,1650840
2002-09-02,2.490000,2.490000,2.250000,2.270000,0.233315,867320
2002-09-03,2.300000,2.380000,2.260000,2.310000,0.237426,857460
2002-09-04,2.280000,2.350000,2.270000,2.320000,0.238454,538960
2002-09-05,2.300000,2.340000,2.290000,2.310000,0.237426,182860
2002-09-06,2.370000,2.370000,2.160000,2.200000,0.226120,544240
2002-09-09,2.180000,2.200000,2.100000,2.130000,0.218925,195380
2002-09-10,null,null,null,null,null,null
2002-09-11,2.230000,2.280000,2.200000,2.240000,0.230231,240400
2002-09-12,2.160000,2.280000,2.160000,2.200000,0.226120,183580
2002-09-13,2.200000,2.240000,2.120000,2.160000,0.222009,322540
2002-09-16,2.160000,2.190000,2.100000,2.120000,0.217897,155900
2002-09-17,2.150000,2.150000,2.010000,2.040000,0.209675,241140
2002-09-18,2.070000,2.250000,2.050000,2.150000,0.220981,1600000
2002-09-19,2.170000,2.290000,2.170000,2.190000,0.225092,1226520
2002-09-20,2.250000,2.250000,2.160000,2.180000,0.224064,463540
