Address,Link,Name,Phone,Review Text,Reviewers Name,Reviewers Score
"34, SGS Magnum Mall, Moledina Road, Camp Area, Pune",https://www.zomato.com/pune/mcdonalds-camp-area/info,"""McDonald's""",'+912266000666',"Negative review 
Negative experience 


I have always been a fan of Mac d for its fries with Peri peri 
And I always make it a point to collect it home if I am near to any of their outlets in Pune 

Today noon at 1:40 I entered Mac d camp and placed a order for large fries with peri peri for take away bill no. 183
Order took no time within 2/3 minutes order came and I left for home 

When reaching home I was taken back when I found the peri peri sachet to be torn and shaker to be torn As well from down and things got more worse when I found I was given small fries instead of large 

Not recommending at all this camp outlet 

I request management to look into this 

Bill no. 183
Time  1:40/45 
Camp outlet SGS MALL",Yogita Rane - Lifestyle Blogger,Rated 1.0
"Shop 22, Balewadi High Street, Cummins India Office Complex, Baner, Pune",https://www.zomato.com/pune/mcdonalds-baner/info,"""McDonald's""",'+912266000666',"Call me brainwashed by the food chains, but I do love my McVeggie. I cannot remember the number of times I have been to this particular McDonald's or ordered from here. The food is the same as every other outlet - cheesy, and comforting. I enjoy there breakfast combos the best - they are easy on the pocket, and give me the much needed Cappuccino at an affordable price. The seating is spacious here, and it is less crowded in the mornings, so it is a perfect visit for breakfasts.",Sakshi Babar,Rated 3.0
"Ground Floor, Mariplex Mall, Kalyani Nagar, Pune",https://www.zomato.com/pune/mcdonalds-1-kalyani-nagar/info,"""McDonald's""",'+912266000666',Like all other outlets this is also a good one. The place is quite spacious. Its a good try out in this area. Its located on the main road. Mc cafe is also very tasty.,Asmita De,Rated 5.0
"Premier Plaza, Old Mumbai Pune Highway, Chinchwad, Pune",https://www.zomato.com/pune/mcdonalds-chinchwad/info,"""McDonald's""",'+912266000666',"I didn't really like the salsa, so ordered the mexican fries without salsa and added extra cheese.
They can add cheesy fries to thier menu, it will surely sell more!
They truly have a good and polite staff. I was able to order the normal menu, even though the timings allowed only breakfast menu!",Priyanka Jain,Rated 3.0
"HPCL, KPIT Cummins, Near Krishna Petrol Pump, Phase 2 Road, Hinjawadi, Pune",https://www.zomato.com/pune/mcdonalds-hinjawadi/info,"""McDonald's""",'+912266000666',All time favorite place of mine.. you can go with your gang here.. french fries and burger was too yummy.. you must visit here.. supportive staff,Sayali Mahajan,Rated 4.0
"Near City Pride Multiplex,  692 A2A Saluja Chambers, Satara Road, Pune",https://www.zomato.com/pune/mcdonalds-satara-road/info,"""McDonald's""",'+912266000666',"Burgers on my mind and only one name came to my mind Mc D ... as usual they tasted good.. but as it was take away they were cold...
American Cheese Veg / Non veg - both were good in taste but were cold. I like the combination of sause + cheese +Chicken in this Burgers..
Spicy Paneer- as it was expensive but taste was grt..
Mexican cheesy Fries- dispointed with this .. actually u should drop this item from menu for take away and delivery as they get soagy quickly .",Foodie Hunk,Rated 3.0
"Rainbow Plaza, Near Shivar Garden, Pimple Saudagar, Pune",https://www.zomato.com/pune/mcdonalds-pimple-saudagar/info,"""McDonald's""",'+912266000666',"Home Delivery review:
Ordered Mc spicy panner burger: good in taste
Pizza puff: okay type, the stuff and coat doesn't go well together.
Mc veggie : on usual scale.
Service : 4
Packing : 4",Sharanye Koushik,Rated 3.0
"8 -14 Stellar Enclave, DP Road, Aundh, Pune",https://www.zomato.com/pune/mcdonalds-aundh/info,"""McDonald's""",'+912266000666',"McDonald's is known for its same taste and everytime serving us with the perfect fries !!

Everything remains the same with this outlet too..
Service is good and quick.

This outlet also has Mccafe and every time i have cappuccino there..its just perfect !!

The decor and overall Ambience is good.
Situated at a very hardcore place..no other McDonald's available nearby along with Mccafe..

My all time favourite spot after office to have my cappuccino 😋",Neha Nemade,Rated 4.0
"1st Floor, West Black, Food Court, Amanora Town Centre, Hadapsar, Pune",https://www.zomato.com/pune/mcdonalds-1-hadapsar/info,"""Mcdonald's""",'+912066000666',"Recently tried there new editions of rice bowls ,
With the all time favourite mc puffs which is the best...
Rice bowl was good in taste it was creamy nicely prepared but find it little expensive",Vidhushi Hisaria,Rated 4.0
"Survey 15/4, Near Santosh Nagar, Thergaon, Dange Chowk, Pune",https://www.zomato.com/pune/mcdonalds-dange-chowk/info,"""McDonald's""",'+912266000666',"McDonald's is always my favorite when it comes to Burger i really loved mc-veggies thats my favorite, My second favourite is mc-spicy paneer.
Recently i have seen few addition in their menu & tried Mexican frenh fries it was not worth, in normal fries they put some salsa & cheese sauce, i would not recommend, as their normal french fries is far better & crunchy.

service is really fast & staff are very polite . It is very spacious having a huge sitting area.
loved the experience.

The Only problem we faced is parking 4 wheeler, if proper arrangement can be made it would be great.",Silky Rungta Agrawal,Rated 4.0
